occurtime,power
2020-12-12_06:55:00,123.6
2020-12-12_07:00:00,123.68
2020-12-12_07:05:00,0.0
2020-12-12_07:10:00,0.0
2020-12-12_07:15:00,0.0
2020-12-12_07:20:00,0.0
2020-12-12_07:25:00,130.0
2020-12-12_07:30:00,125.44
2020-12-12_07:35:00,123.6
2020-12-12_07:40:00,122.24
2020-12-12_07:45:00,0.0
2020-12-12_07:50:00,0.0
2020-12-12_07:55:00,0.0
2020-12-12_08:00:00,130.8
2020-12-12_08:05:00,123.44
2020-12-12_08:10:00,126.64
2020-12-12_08:15:00,138.4
2020-12-12_08:20:00,124.16
2020-12-12_08:25:00,0.0
2020-12-12_08:30:00,0.0
2020-12-12_08:35:00,0.0
2020-12-12_08:40:00,163.04
2020-12-12_08:45:00,130.0
2020-12-12_08:50:00,127.84
2020-12-12_08:55:00,125.6
2020-12-12_09:00:00,124.8
2020-12-12_09:05:00,0.0
2020-12-12_09:10:00,0.0
2020-12-12_09:15:00,0.0
2020-12-12_09:20:00,155.36
2020-12-12_09:25:00,127.12
2020-12-12_09:30:00,125.76
2020-12-12_09:35:00,123.84
2020-12-12_09:40:00,0.0
2020-12-12_09:45:00,0.0
2020-12-12_09:50:00,0.0
2020-12-12_09:55:00,0.0
2020-12-12_10:00:00,132.24
2020-12-12_10:05:00,127.52
2020-12-12_10:10:00,129.92
2020-12-12_10:15:00,125.04
2020-12-12_10:20:00,124.16
2020-12-12_10:25:00,0.0
2020-12-12_10:30:00,0.0
2020-12-12_10:35:00,0.0
2020-12-12_10:40:00,0.0
2020-12-12_10:45:00,130.96
2020-12-12_10:50:00,127.52
2020-12-12_10:55:00,125.52
2020-12-12_11:00:00,122.56
2020-12-12_11:05:00,0.0
2020-12-12_11:10:00,0.0
2020-12-12_11:15:00,0.0
2020-12-12_11:20:00,138.56
2020-12-12_11:25:00,127.92
2020-12-12_11:30:00,125.36
2020-12-12_11:35:00,123.68
2020-12-12_11:40:00,0.0
2020-12-12_11:45:00,0.0
2020-12-12_11:50:00,0.0
2020-12-12_11:55:00,156.88
2020-12-12_12:00:00,128.64
2020-12-12_12:05:00,124.88
2020-12-12_12:10:00,123.36
2020-12-12_12:15:00,0.0
2020-12-12_12:20:00,0.0
2020-12-12_12:25:00,0.0
2020-12-12_12:30:00,0.0
2020-12-12_12:35:00,127.6
2020-12-12_12:40:00,124.08
2020-12-12_12:45:00,121.52
2020-12-12_12:50:00,0.0
2020-12-12_12:55:00,0.0
2020-12-12_13:05:00,0.0
2020-12-12_13:10:00,127.44
2020-12-12_13:15:00,122.64
2020-12-12_13:20:00,120.16
2020-12-12_13:25:00,0.0
2020-12-12_13:30:00,0.0
2020-12-12_13:35:00,13.28
2020-12-12_13:40:00,158.48
2020-12-12_13:45:00,129.28
2020-12-12_13:50:00,126.48
2020-12-12_13:55:00,123.28
2020-12-12_14:00:00,120.32
2020-12-12_14:05:00,0.0
2020-12-12_14:10:00,0.0
2020-12-12_14:15:00,0.0
2020-12-12_14:20:00,139.52
2020-12-12_14:25:00,123.52
2020-12-12_14:30:00,122.48
2020-12-12_14:35:00,120.32
2020-12-12_14:40:00,0.0
2020-12-12_14:45:00,0.0
2020-12-12_14:50:00,0.0
2020-12-12_14:55:00,0.0
2020-12-12_15:00:00,128.8
2020-12-12_15:05:00,126.56
2020-12-12_15:10:00,123.12
2020-12-12_15:15:00,0.0
2020-12-12_15:20:00,0.0
2020-12-12_15:25:00,0.0
2020-12-12_15:30:00,0.0
2020-12-12_15:35:00,126.64
2020-12-12_15:40:00,123.44
2020-12-12_15:45:00,120.24
2020-12-12_15:50:00,0.0
2020-12-12_15:55:00,0.0
2020-12-12_16:00:00,0.0
2020-12-12_16:05:00,0.0
2020-12-12_16:10:00,130.56
2020-12-12_16:15:00,124.08
2020-12-12_16:20:00,121.68
2020-12-12_16:25:00,0.0
2020-12-12_16:30:00,0.0
2020-12-12_16:35:00,0.0
2020-12-12_16:40:00,0.0
2020-12-12_16:45:00,129.84
2020-12-12_16:50:00,125.6
2020-12-12_16:55:00,123.36
2020-12-12_17:00:00,122.72
2020-12-12_17:05:00,0.0
2020-12-12_17:10:00,0.0
2020-12-12_17:15:00,0.0
2020-12-12_17:20:00,148.64
2020-12-12_17:25:00,126.24
2020-12-12_17:30:00,122.8
2020-12-12_17:35:00,122.64
2020-12-12_17:40:00,0.0
2020-12-12_17:45:00,0.0
2020-12-12_17:50:00,0.0
2020-12-12_17:55:00,0.0
2020-12-12_18:00:00,129.84
2020-12-12_18:05:00,125.2
2020-12-12_18:10:00,121.76
2020-12-12_18:15:00,119.28
2020-12-12_18:20:00,0.0
2020-12-12_18:25:00,0.0
2020-12-12_18:30:00,0.0
2020-12-12_18:35:00,152.4
2020-12-12_18:40:00,129.2
2020-12-12_18:45:00,127.04
2020-12-12_18:50:00,120.96
2020-12-12_18:55:00,122.16
2020-12-12_19:00:00,0.0
2020-12-12_19:05:00,0.0
2020-12-12_19:10:00,0.0
2020-12-12_19:15:00,142.64
